expression,solution,cell,time,intensity
GcG-NIT1,DMSO,E,2.8,0.99041077
GcG-NIT1,DMSO,E,3,1.00215471
GcG-NIT1,DMSO,E,3.2,0.996675497
GcG-NIT1,DMSO,E,3.4,0.995344934
GcG-NIT1,DMSO,E,3.6,1.009369156
GcG-NIT1,DMSO,E,3.8,1.004541735
GcG-NIT1,DMSO,E,4,0.996741832
GcG-NIT1,DMSO,E,4.2,0.99647614
GcG-NIT1,DMSO,E,4.4,0.986874437
GcG-NIT1,DMSO,E,4.6,0.993498287
GcG-NIT1,DMSO,E,4.8,1.000932643
GcG-NIT1,DMSO,E,5,0.983977517
GcG-NIT1,DMSO,E,5.2,0.993760942
GcG-NIT1,DMSO,E,5.4,0.995824231
GcG-NIT1,DMSO,E,5.6,0.989018426
GcG-NIT1,DMSO,E,5.8,0.99606423
GcG-NIT1,DMSO,E,6,1.000559857
GcG-NIT1,DMSO,E,6.2,0.992785064
GcG-NIT1,DMSO,E,6.4,1.001782741
GcG-NIT1,DMSO,E,6.6,0.997181655
GcG-NIT1,DMSO,E,6.8,0.982599656
GcG-NIT1,DMSO,E,7,0.996249455
GcG-NIT1,DMSO,E,7.2,0.98795741
GcG-NIT1,DMSO,E,7.4,0.979444051
GcG-NIT1,DMSO,E,7.6,0.980107873
GcG-NIT1,DMSO,E,7.8,0.985002914
GcG-NIT1,DMSO,E,8,0.972863646
GcG-NIT1,DMSO,E,8.2,0.979811816
GcG-NIT1,DMSO,E,8.4,0.973515322
GcG-NIT1,DMSO,E,8.6,0.977766395
