frame,morphant,sample,intensity
10,NIT2-MO2,35,0.955392
10,NIT2-MO2,36,1.0132294
10,NIT2-MO2,37,1.0304024
10,NIT2-MO2,38,0.9960424
10,NIT2-MO2,39,1.0449743
10,NIT2-MO2,40,1.0565745
10,NIT2-MO2,41,0.949221
10,NIT2-MO2,42,1.0380068
10,NIT2-MO2,43,0.9985311
10,NIT2-MO2,44,1.0783088
10,NIT2-MO2,45,1.0904562
10,NIT2-MO2,46,1.0360898
10,NIT2-MO2,47,1.1119464
10,NIT2-MO2,48,1.132728
10,NIT2-MO2,49,1.0662782
10,NIT2-MO2,50,1.0666022
10,NIT2-MO2,51,0.9963174
10,NIT2-MO2,52,1.0255989
10,NIT2-MO2,53,1.0134489
10,NIT2-MO2,54,0.9532312
11,NIT2-MO1,2,1.0517821
11,NIT2-MO1,3,1.0241058
11,NIT2-MO1,4,1.0206122
11,NIT2-MO1,5,1.0046465
11,NIT2-MO1,6,1.0876092
11,NIT2-MO1,7,0.9804439
11,NIT2-MO1,8,1.03063
11,NIT2-MO1,9,1.0056411
11,NIT2-MO1,10,1.0121776
11,NIT2-MO1,11,1.0089721
11,NIT2-MO1,12,1.0162411
11,NIT2-MO1,13,0.9554281
11,NIT2-MO1,14,0.9323542
11,NIT2-MO1,15,1.0358311
11,NIT2-MO1,16,0.9885722
11,NIT2-MO1,17,1.0561665
11,NIT2-MO1,18,1.016866
11,NIT2-MO1,19,1.043808
11,NIT2-MO1,20,1.0252449
11,NIT2-MO1,21,1.0378277
11,NIT2-MO1,22,1.0777394
11,NIT2-MO2,23,1.0314339
11,NIT2-MO2,24,1.0897508
11,NIT2-MO2,25,0.9476408
11,NIT2-MO2,26,0.9830457
11,NIT2-MO2,27,1.0055127
11,NIT2-MO2,28,1.0543642
11,NIT2-MO2,29,1.0780925
11,NIT2-MO2,30,1.0684276
11,NIT2-MO2,31,1.1119558
11,NIT2-MO2,32,1.1334549
11,NIT2-MO2,33,0.9628903
11,NIT2-MO2,34,0.905423
11,NIT2-MO2,35,0.9666535
11,NIT2-MO2,36,1.0351566
11,NIT2-MO2,37,1.0321733
11,NIT2-MO2,38,0.9848948
11,NIT2-MO2,39,1.0599573
11,NIT2-MO2,40,1.0556296
11,NIT2-MO2,41,0.938889
11,NIT2-MO2,42,1.0680111
11,NIT2-MO2,43,0.9949839
11,NIT2-MO2,44,1.0708142
11,NIT2-MO2,45,1.086127
11,NIT2-MO2,46,1.0245248
11,NIT2-MO2,47,1.0983563
11,NIT2-MO2,48,1.1129589
11,NIT2-MO2,49,1.0530384
11,NIT2-MO2,50,1.0547564
11,NIT2-MO2,51,1.0236194
11,NIT2-MO2,52,1.0429189
11,NIT2-MO2,53,1.009642
11,NIT2-MO2,54,0.9643046
12,NIT2-MO1,2,1.055112
12,NIT2-MO1,3,1.0176689
12,NIT2-MO1,4,1.0205915
12,NIT2-MO1,5,1.0065314
12,NIT2-MO1,6,1.0705951
12,NIT2-MO1,7,0.982269
12,NIT2-MO1,8,1.0272791
12,NIT2-MO1,9,1.0192589
12,NIT2-MO1,10,1.0074317
12,NIT2-MO1,11,1.00627
12,NIT2-MO1,12,1.0167444
12,NIT2-MO1,13,1.0130676
12,NIT2-MO1,14,1.0427772
12,NIT2-MO1,15,1.0186064
12,NIT2-MO1,16,0.998748
12,NIT2-MO1,17,1.0553618
12,NIT2-MO1,18,1.014352
