frame,MO,sample,intensity
23,NIT2MO1_RGW,5,1.012972008
23,NIT2MO1_RGW,6,1.011161108
23,NIT2MO1_RGW,7,0.983223413
23,NIT2MO1_RGW,8,0.979270682
23,NIT2MO1_RGW,9,1.03262531
23,NIT2MO1_RGW,10,0.960572667
23,NIT2MO1_RGW,11,0.97182646
23,NIT2MO1_RGW,12,1.016155634
23,NIT2MO1_RGW,13,1.006247901
23,NIT2MO1_RGW,14,0.994192005
23,NIT2MO2_RGW,15,1.02830446
23,NIT2MO2_RGW,16,1.00645408
23,NIT2MO2_RGW,17,0.73600094
23,NIT2MO2_RGW,18,0.94398928
23,NIT2MO2_RGW,19,1.02190001
23,NIT2MO2_RGW,20,1.07104467
23,NIT2MO2_RGW,21,1.03140575
23,NIT2MO2_RGW,22,1.01561065
23,NIT2MO2_RGW,23,0.86315391
23,NIT2MO2_RGW,24,1.0400742
23,NIT2MO2_RGW,25,1.02762331
23,NIT2MO2_RGW,26,0.78749137
24,NIT2MO1_RGW,2,0.983825726
24,NIT2MO1_RGW,3,0.86775869
24,NIT2MO1_RGW,4,0.833261775
24,NIT2MO1_RGW,5,1.017593614
24,NIT2MO1_RGW,6,1.020292924
24,NIT2MO1_RGW,7,0.962118714
24,NIT2MO1_RGW,8,0.972508374
24,NIT2MO1_RGW,9,1.053707901
24,NIT2MO1_RGW,10,0.971637612
24,NIT2MO1_RGW,11,0.971237279
24,NIT2MO1_RGW,12,0.975185546
24,NIT2MO1_RGW,13,0.986698018
24,NIT2MO1_RGW,14,1.000911058
24,NIT2MO2_RGW,15,1.04781067
24,NIT2MO2_RGW,16,0.99808925
24,NIT2MO2_RGW,17,0.74292007
24,NIT2MO2_RGW,18,0.97697439
24,NIT2MO2_RGW,19,1.06676293
24,NIT2MO2_RGW,20,1.06950906
24,NIT2MO2_RGW,21,1.02027719
24,NIT2MO2_RGW,22,1.02878788
24,NIT2MO2_RGW,23,0.88459194
24,NIT2MO2_RGW,24,1.03854308
24,NIT2MO2_RGW,25,1.0298386
24,NIT2MO2_RGW,26,0.7917045
25,NIT2MO1_RGW,2,0.996102146
25,NIT2MO1_RGW,3,0.863513783
25,NIT2MO1_RGW,4,0.864932441
25,NIT2MO1_RGW,5,1.04443044
25,NIT2MO1_RGW,6,1.012881595
25,NIT2MO1_RGW,7,0.984253916
25,NIT2MO1_RGW,8,0.973772357
25,NIT2MO1_RGW,9,1.041216466
25,NIT2MO1_RGW,10,0.978502394
25,NIT2MO1_RGW,11,0.98044992
25,NIT2MO1_RGW,12,1.013719169
25,NIT2MO1_RGW,13,0.975008398
25,NIT2MO1_RGW,14,1.004213643
25,NIT2MO2_RGW,15,1.05776838
25,NIT2MO2_RGW,16,0.99358838
25,NIT2MO2_RGW,17,0.79092521
25,NIT2MO2_RGW,18,0.96969512
25,NIT2MO2_RGW,19,1.05184205
25,NIT2MO2_RGW,20,1.06576035
25,NIT2MO2_RGW,21,1.00935345
25,NIT2MO2_RGW,22,1.01331497
25,NIT2MO2_RGW,23,0.90327666
25,NIT2MO2_RGW,24,1.02906189
25,NIT2MO2_RGW,25,1.01293006
25,NIT2MO2_RGW,26,0.79272146
26,NIT2MO1_RGW,2,0.969655022
26,NIT2MO1_RGW,3,0.84748302
26,NIT2MO1_RGW,4,0.895163531
26,NIT2MO1_RGW,5,1.076571609
26,NIT2MO1_RGW,6,0.993294512
26,NIT2MO1_RGW,7,0.95354493
26,NIT2MO1_RGW,8,0.959362953
26,NIT2MO1_RGW,9,1.039740684
