genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,113.6499583,275.5290904,-275.5290904,13.3102197,17.4627709,282,dark
NOS,ID08,113.9353176,275.3145871,-275.3145871,13.595579,17.6772742,283,dark
NOS,ID08,114.293988,275.5687154,-275.5687154,13.9542494,17.4231459,284,dark
NOS,ID08,114.4653146,275.3914816,-275.3914816,14.125576,17.6003797,285,dark
NOS,ID08,114.7041098,275.2852433,-275.2852433,14.3643712,17.706618,286,dark
NOS,ID08,115.0105747,275.122691,-275.122691,14.6708361,17.8691703,287,dark
NOS,ID08,115.3712425,275.0100589,-275.0100589,15.0315039,17.9818024,288,dark
NOS,ID08,115.6310467,275.1432288,-275.1432288,15.2913081,17.8486325,289,dark
NOS,ID08,115.9909089,274.7798658,-274.7798658,15.6511703,18.2119955,290,dark
NOS,ID08,116.1141003,274.6632471,-274.6632471,15.7743617,18.3286142,291,dark
NOS,ID08,116.2633641,274.720319,-274.720319,15.9236255,18.2715423,292,dark
NOS,ID08,116.5602898,274.5510477,-274.5510477,16.2205512,18.4408136,293,dark
NOS,ID08,116.7212601,274.3418942,-274.3418942,16.3815215,18.6499671,294,dark
NOS,ID08,116.9940524,274.3306714,-274.3306714,16.6543138,18.6611899,295,dark
NOS,ID08,117.0500748,274.1346863,-274.1346863,16.7103362,18.857175,296,dark
NOS,ID08,117.2336056,273.9845813,-273.9845813,16.893867,19.00728,297,dark
NOS,ID08,117.2852826,273.6396191,-273.6396191,16.945544,19.3522422,298,dark
NOS,ID08,117.3622155,273.5208058,-273.5208058,17.0224769,19.4710555,299,dark
NOS,ID08,117.2245711,273.3977116,-273.3977116,16.8848325,19.5941497,300,UV
NOS,ID08,117.3500894,273.2393215,-273.2393215,17.0103508,19.7525398,301,UV
NOS,ID08,117.4431917,273.0901038,-273.0901038,17.1034531,19.9017575,302,UV
NOS,ID08,117.3998754,272.9856549,-272.9856549,17.0601368,20.0062064,303,UV
NOS,ID08,117.3093206,272.650706,-272.650706,16.969582,20.3411553,304,UV
NOS,ID08,117.2817077,272.7078904,-272.7078904,16.9419691,20.2839709,305,UV
NOS,ID08,117.1672687,272.3223997,-272.3223997,16.8275301,20.6694616,306,UV
NOS,ID08,117.2025201,272.3207434,-272.3207434,16.8627815,20.6711179,307,UV
NOS,ID08,117.1554393,272.1341303,-272.1341303,16.8157007,20.857731,308,UV
NOS,ID08,116.9985713,272.0672053,-272.0672053,16.6588327,20.924656,309,UV
NOS,ID08,116.7976165,271.991175,-271.991175,16.4578779,21.0006863,310,UV
